ano,mes,id_verbete,valor_total
2017,5,399,41418370536.0
2017,5,899,41418370536.0
2017,6,160,14396433383.0
2017,6,161,2172001795.0
2017,6,162,323625832.0
2017,6,171,107240252.0
2017,6,399,40309441116.0
2017,6,899,40309441116.0
2017,7,160,13215241599.0
2017,7,161,2159966921.0
2017,7,162,320307058.0
2017,7,171,105741000.0
2017,7,399,39408188680.0
2017,7,899,39408188680.0
2017,8,160,17970008018.0
2017,8,161,2124490381.0
2017,8,162,312577164.0
2017,8,171,101454826.0
2017,8,399,45843955861.0
2017,8,899,45843955861.0
2017,9,160,16389358855.0
2017,9,161,2116992814.0
2017,9,162,302970682.0
2017,9,171,100497009.0
2017,9,399,50271952925.0
2017,9,899,50271952925.0
2017,10,160,17835632686.0
2017,10,161,2106591166.0
2017,10,162,299147991.0
2017,10,171,99126399.0
2017,10,399,69559146334.0
2017,10,899,69559146334.0
2017,11,160,20492776232.0
2017,11,161,2109992014.0
2017,11,162,294990687.0
2017,11,171,97770605.0
2017,11,399,88121579413.0
2017,11,899,88121579413.0
2017,12,160,13511306591.0
2017,12,161,2069380697.0
2017,12,162,295017543.0
2017,12,171,96883712.0
2017,12,399,73473979838.0
2017,12,899,73473979838.0
2018,1,160,20845908742.0
2018,1,161,2090716132.0
2018,1,162,283626201.0
2018,1,171,95088060.0
2018,1,399,94093523019.0
2018,1,899,94093523019.0
2018,2,160,17651334177.0
2018,2,161,2103465170.0
2018,2,162,280628881.0
2018,2,171,93953552.0
2018,2,399,75947512812.0
2018,2,899,75947512812.0
2018,3,160,26381592082.0
2018,3,161,2111366660.0
2018,3,162,279215428.0
2018,3,171,92976343.0
2018,3,399,86324410363.0
2018,3,899,86324410363.0
2018,4,160,20878779093.0
2018,4,161,2119193481.0
2018,4,162,277233552.0
2018,4,171,91945189.0
2018,4,399,79286564332.0
2018,4,899,79286564332.0
2018,5,160,22280230217.0
2018,5,161,2112380878.0
2018,5,162,239007205.0
2018,5,171,90669329.0
2018,5,399,81454704726.0
2018,5,899,81454704726.0
2018,6,160,22516822939.0
2018,6,161,2109496265.0
2018,6,162,239501303.0
2018,6,171,89611847.0
2018,6,399,71385972547.0
2018,6,899,71385972547.0
2018,7,160,15086942508.0
2018,7,161,2097218405.0
2018,7,162,246394943.0
2018,7,171,88178297.0
2018,7,399,57621270612.0
2018,7,899,57621270612.0
2018,8,160,15874239452.0
2018,8,161,2095141656.0
2018,8,162,248869943.0
2018,8,171,86820203.0
2018,8,399,59743395153.0
2018,8,899,59743395153.0
2018,9,160,17484618798.0
2018,9,161,2101612009.0
2018,9,162,246012563.0
2018,9,171,85407443.0
2018,9,399,61885234320.0
2018,9,899,61885234320.0
2018,10,160,11795998255.0
2018,10,161,2104582977.0
2018,10,162,255064528.0
2018,10,171,84419674.0
2018,10,399,43250621209.0
2018,10,899,43250621209.0
2018,11,160,15015351017.0
2018,11,161,2119349116.0
2018,11,162,253071489.0
2018,11,171,83301543.0
2018,11,399,50219141544.0
2018,11,899,50219141544.0
2018,12,160,10599681073.0
2018,12,161,2100928007.0
2018,12,162,246683920.0
2018,12,171,82286931.0
2018,12,399,41202983281.0
2018,12,899,41202983281.0
2019,1,160,17294933684.0
2019,1,161,2120284738.0
2019,1,162,244508321.0
2019,1,171,81137318.0
2019,1,399,61699904421.0
2019,1,899,61699904421.0
2019,2,160,25430228797.0
2019,2,161,2131535754.0
2019,2,162,245887455.0
2019,2,171,80010178.0
2019,2,399,89964698208.0
2019,2,899,89964698208.0
2019,3,160,27683206074.0
2019,3,161,2141211139.0
2019,3,162,257290598.0
2019,3,171,78839776.0
2019,3,399,94891419631.0
2019,3,899,94891419631.0
2019,4,160,25589966030.0
2019,4,161,2165622222.0
2019,4,162,258201167.0
2019,4,171,76820108.0
2019,4,399,93300051091.0
2019,4,899,93300051091.0
2019,5,160,25337947768.0
2019,5,161,2181377371.0
2019,5,162,263566834.0
2019,5,171,75431900.0
2019,5,399,93269461006.0
2019,5,899,93269461006.0
2019,6,160,28006697611.0
2019,6,161,2202800030.0
2019,6,162,262921703.0
2019,6,171,74369390.0
2019,6,399,94866143438.0
2019,6,899,94866143438.0
2019,7,160,30253154529.0
2019,7,161,2218481796.0
2019,7,162,269373213.0
2019,7,171,72749988.0
2019,7,399,95828540743.0
2019,7,899,95828540743.0
2019,8,160,6503383509.0
2019,8,161,2231755674.0
2019,8,162,275373412.0
2019,8,171,70954262.0
2019,8,399,29506447217.0
2019,8,899,29506447217.0
2019,9,160,6570185193.0
2019,9,161,2246792129.0
2019,9,162,266449162.0
2019,9,171,69948808.0
2019,9,399,29784272196.0
2019,9,899,29784272196.0
2019,10,160,6686335122.0
2019,10,161,2262090765.0
2019,10,162,265912686.0
2019,10,171,68743825.0
2019,10,399,29768529902.0
2019,10,899,29768529902.0
2019,11,160,6796210718.0
2019,11,161,2302385000.0
2019,11,162,275462466.0
2019,11,171,67925725.0
2019,11,399,30097560197.0
2019,11,899,30097560197.0
2019,12,160,6887697770.0
2019,12,161,2312962094.0
2019,12,162,295629770.0
2019,12,171,67151596.0
2019,12,399,29823680207.0
2019,12,899,29823680207.0
2020,1,160,6971038388.0
2020,1,161,2339997245.0
2020,1,162,286522780.0
2020,1,171,66166212.0
2020,1,399,30785713788.0
2020,1,899,30785713788.0
2020,2,160,6581849266.0
2020,2,161,2369311000.0
2020,2,162,275919148.0
2020,2,171,65415150.0
2020,2,399,30588081598.0
2020,2,899,30588081598.0
2020,3,160,6569278381.0
2020,3,161,2386482442.0
2020,3,162,276672355.0
2020,3,171,64263855.0
2020,3,399,31464709947.0
2020,3,899,31464709947.0
2020,4,160,6558660647.0
2020,4,161,2369595924.0
2020,4,162,274324728.0
2020,4,171,64033259.0
2020,4,399,32516502903.0
2020,4,899,32516502903.0
2020,5,160,6394242359.0
2020,5,161,2293050970.0
2020,5,162,219538356.0
2020,5,171,63699624.0
2020,5,399,32268911639.0
2020,5,899,32268911639.0
2020,6,160,6419659723.0
2020,6,161,2371026851.0
2020,6,162,287396841.0
2020,6,171,62693149.0
2020,6,399,33548578183.0
2020,6,899,33548578183.0
2020,7,160,6685336688.0
2020,7,161,2462560883.0
2020,7,162,284889060.0
2020,7,171,61619692.0
2020,7,399,33289315500.0
2020,7,899,33289315500.0
2020,8,160,6846729837.0
2020,8,161,2570323796.0
2020,8,162,286009469.0
2020,8,171,60524336.0
2020,8,399,34291122846.0
2020,8,899,34291122846.0
2020,9,160,7023541378.0
2020,9,161,2678400099.0
2020,9,162,287333529.0
2020,9,171,59308436.0
2020,9,399,35316371250.0
2020,9,899,35316371250.0
2020,10,160,7159261704.0
2020,10,161,2714130572.0
2020,10,162,295119193.0
2020,10,171,58023508.0
2020,10,399,36167751751.0
2020,10,899,36167751751.0
2020,11,160,7328224840.0
2020,11,161,2770914292.0
2020,11,162,295424598.0
2020,11,171,56829908.0
2020,11,399,37848870156.0
2020,11,899,37848870156.0
2020,12,160,7449781975.0
2020,12,161,2787711470.0
2020,12,162,296727020.0
2020,12,171,55678453.0
2020,12,399,36691726627.0
2020,12,899,36691726627.0
2021,1,160,7444731886.0
2021,1,161,2822717886.0
2021,1,162,284779181.0
2021,1,171,54422176.0
2021,1,399,37547201254.0
2021,1,899,37547201254.0
2021,2,160,7392708795.0
2021,2,161,2849680487.0
2021,2,162,279713902.0
2021,2,171,53725482.0
2021,2,399,37555952190.0
2021,2,899,37555952190.0
2021,3,160,7431975282.0
2021,3,161,2866319519.0
2021,3,162,278157581.0
2021,3,171,52621330.0
2021,3,399,37957957766.0
2021,3,899,37957957766.0
2021,4,160,7416824741.0
2021,4,161,2862504036.0
2021,4,162,280122281.0
2021,4,171,51399067.0
2021,4,399,37901583028.0
2021,4,899,37901583028.0
2021,5,160,7368085561.0
2021,5,161,2896332928.0
2021,5,162,275374518.0
2021,5,171,50054183.0
2021,5,399,37582161296.0
2021,5,899,37582161296.0
2021,6,160,7340246546.0
