ano,mes,cnpj_basico,instituicao,agencias_processadas
2025,3,60746948,BCO BRADESCO S.A.,9
2025,3,33479023,BCO CITIBANK S.A.,1
2025,3,00000000,BCO DO BRASIL S.A.,12
2025,3,58160789,BCO SAFRA S.A.,1
2025,3,00360305,CAIXA ECONOMICA FEDERAL,12
2025,4,60746948,BCO BRADESCO S.A.,9
2025,4,33479023,BCO CITIBANK S.A.,1
2025,4,00000000,BCO DO BRASIL S.A.,12
2025,4,58160789,BCO SAFRA S.A.,1
2025,4,00360305,CAIXA ECONOMICA FEDERAL,12
2025,5,60746948,BCO BRADESCO S.A.,9
2025,5,33479023,BCO CITIBANK S.A.,1
2025,5,00000000,BCO DO BRASIL S.A.,12
2025,5,58160789,BCO SAFRA S.A.,1
2025,5,90400888,BCO SANTANDER (BRASIL) S.A.,17
2025,5,00360305,CAIXA ECONOMICA FEDERAL,12
2025,6,60746948,BCO BRADESCO S.A.,9
2025,6,33479023,BCO CITIBANK S.A.,1
2025,6,00000000,BCO DO BRASIL S.A.,12
2025,6,58160789,BCO SAFRA S.A.,1
2025,6,90400888,BCO SANTANDER (BRASIL) S.A.,15
2025,6,00360305,CAIXA ECONOMICA FEDERAL,12
2025,6,60701190,ITAÚ UNIBANCO S.A.,9
2025,7,60746948,BCO BRADESCO S.A.,9
2025,7,33479023,BCO CITIBANK S.A.,1
2025,7,58160789,BCO SAFRA S.A.,1
2025,7,90400888,BCO SANTANDER (BRASIL) S.A.,15
2025,7,00360305,CAIXA ECONOMICA FEDERAL,12
2025,7,60701190,ITAÚ UNIBANCO S.A.,9
2025,8,60746948,BCO BRADESCO S.A.,9
2025,8,33479023,BCO CITIBANK S.A.,1
2025,8,00000000,BCO DO BRASIL S.A.,12
2025,8,58160789,BCO SAFRA S.A.,1
2025,8,90400888,BCO SANTANDER (BRASIL) S.A.,15
2025,8,00360305,CAIXA ECONOMICA FEDERAL,12
2025,8,60701190,ITAÚ UNIBANCO S.A.,9
2025,9,60746948,BCO BRADESCO S.A.,8
2025,9,33479023,BCO CITIBANK S.A.,1
2025,9,00000000,BCO DO BRASIL S.A.,12
2025,9,58160789,BCO SAFRA S.A.,1
2025,9,90400888,BCO SANTANDER (BRASIL) S.A.,8
2025,9,00360305,CAIXA ECONOMICA FEDERAL,12
2025,9,60701190,ITAÚ UNIBANCO S.A.,9
