ano,mes,cnpj_basico,instituicao,agencias_processadas
2016,6,00360305,CAIXA ECONOMICA FEDERAL,14
2016,6,60701190,ITAÚ UNIBANCO S.A.,21
2016,6,01701201,KIRTON BANK,4
2016,7,00416968,BANCO INTER,1
2016,7,60746948,BCO BRADESCO S.A.,25
2016,7,07450604,BCO CCB BRASIL S.A.,1
2016,7,33479023,BCO CITIBANK S.A.,1
2016,7,00000000,BCO DO BRASIL S.A.,18
2016,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,7,58160789,BCO SAFRA S.A.,1
2016,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,7,00360305,CAIXA ECONOMICA FEDERAL,14
2016,7,60701190,ITAÚ UNIBANCO S.A.,21
2016,7,01701201,KIRTON BANK,4
2016,8,00416968,BANCO INTER,1
2016,8,60746948,BCO BRADESCO S.A.,25
2016,8,07450604,BCO CCB BRASIL S.A.,1
2016,8,33479023,BCO CITIBANK S.A.,1
2016,8,00000000,BCO DO BRASIL S.A.,18
2016,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,8,58160789,BCO SAFRA S.A.,1
2016,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,8,00360305,CAIXA ECONOMICA FEDERAL,14
2016,8,60701190,ITAÚ UNIBANCO S.A.,21
2016,8,01701201,KIRTON BANK,4
2016,9,00416968,BANCO INTER,1
2016,9,60746948,BCO BRADESCO S.A.,25
2016,9,07450604,BCO CCB BRASIL S.A.,1
2016,9,33479023,BCO CITIBANK S.A.,1
2016,9,00000000,BCO DO BRASIL S.A.,18
2016,9,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,9,58160789,BCO SAFRA S.A.,1
2016,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,9,00360305,CAIXA ECONOMICA FEDERAL,14
2016,9,60701190,ITAÚ UNIBANCO S.A.,21
2016,9,01701201,KIRTON BANK,4
2016,10,00416968,BANCO INTER,1
2016,10,60746948,BCO BRADESCO S.A.,29
2016,10,07450604,BCO CCB BRASIL S.A.,1
2016,10,33479023,BCO CITIBANK S.A.,1
2016,10,00000000,BCO DO BRASIL S.A.,18
2016,10,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,10,58160789,BCO SAFRA S.A.,1
2016,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,10,00360305,CAIXA ECONOMICA FEDERAL,14
2016,10,60701190,ITAÚ UNIBANCO S.A.,21
2016,11,00416968,BANCO INTER,1
2016,11,60746948,BCO BRADESCO S.A.,29
2016,11,07450604,BCO CCB BRASIL S.A.,1
2016,11,33479023,BCO CITIBANK S.A.,1
2016,11,00000000,BCO DO BRASIL S.A.,18
2016,11,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,11,58160789,BCO SAFRA S.A.,1
2016,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,11,00360305,CAIXA ECONOMICA FEDERAL,14
2016,11,60701190,ITAÚ UNIBANCO S.A.,21
2016,12,00416968,BANCO INTER,1
2016,12,60746948,BCO BRADESCO S.A.,29
2016,12,07450604,BCO CCB BRASIL S.A.,1
2016,12,33479023,BCO CITIBANK S.A.,1
2016,12,00000000,BCO DO BRASIL S.A.,18
2016,12,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2016,12,58160789,BCO SAFRA S.A.,1
2016,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2016,12,00360305,CAIXA ECONOMICA FEDERAL,14
2016,12,60701190,ITAÚ UNIBANCO S.A.,21
2017,1,00416968,BANCO INTER,1
2017,1,60746948,BCO BRADESCO S.A.,29
2017,1,07450604,BCO CCB BRASIL S.A.,1
2017,1,33479023,BCO CITIBANK S.A.,1
2017,1,00000000,BCO DO BRASIL S.A.,15
2017,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,1,58160789,BCO SAFRA S.A.,1
2017,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,1,00360305,CAIXA ECONOMICA FEDERAL,14
2017,1,60701190,ITAÚ UNIBANCO S.A.,21
2017,2,00416968,BANCO INTER,1
2017,2,60746948,BCO BRADESCO S.A.,29
2017,2,07450604,BCO CCB BRASIL S.A.,1
2017,2,33479023,BCO CITIBANK S.A.,1
2017,2,00000000,BCO DO BRASIL S.A.,15
2017,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,2,58160789,BCO SAFRA S.A.,1
2017,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,2,00360305,CAIXA ECONOMICA FEDERAL,14
2017,2,60701190,ITAÚ UNIBANCO S.A.,20
2017,3,00416968,BANCO INTER,1
2017,3,60746948,BCO BRADESCO S.A.,29
2017,3,07450604,BCO CCB BRASIL S.A.,1
2017,3,33479023,BCO CITIBANK S.A.,1
2017,3,00000000,BCO DO BRASIL S.A.,15
2017,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,3,58160789,BCO SAFRA S.A.,1
2017,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,3,00360305,CAIXA ECONOMICA FEDERAL,14
2017,3,60701190,ITAÚ UNIBANCO S.A.,19
2017,4,00416968,BANCO INTER,1
2017,4,60746948,BCO BRADESCO S.A.,29
2017,4,07450604,BCO CCB BRASIL S.A.,1
2017,4,33479023,BCO CITIBANK S.A.,1
2017,4,00000000,BCO DO BRASIL S.A.,15
2017,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,4,58160789,BCO SAFRA S.A.,1
2017,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,4,00360305,CAIXA ECONOMICA FEDERAL,14
2017,4,60701190,ITAÚ UNIBANCO S.A.,19
2017,5,00416968,BANCO INTER,1
2017,5,60746948,BCO BRADESCO S.A.,29
